POSICION,CENTROS TOTALES_P90,CENTROS TOTALES GANADOS POR UN COMPAÑERO_P90,1 VS 1 OFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS OFENSIVOS_P90,1VS1 NO EXITOSO OFENSIVO_P90,PARTICIPACIÓN EN GOL_P90,ASISTENCIAS_P90,TIROS A GOL_P90,TIROS A GOL CON DESTINO A PORTERÍA_P90,BALONES RECUPERADOS 1/4 DE CANCHA_P90,BALONES RECUPERADOS 2/4 DE CANCHA_P90,BALONES RECUPERADOS 3/4 DE CANCHA_P90,BALONES RECUPERADOS 4/4 DE CANCHA_P90,1 VS 1 DEFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS DEFENSIVOS_P90,1VS1 NO EXITOSO DEFENSIVO_P90,TOTAL PASES ACERTADOS_P90,PASES ACERTADOS CANCHA PROPIA 1/4_P90,PASES ACERTADOS CANCHA PROPIA 2/4_P90,PASES ACERTADOS CANCHA RIVAL 3/4_P90,PASES ACERTADOS CANCHA RIVAL 4/4_P90,BALONES PERDIDOS 1/4 DE CANCHA_P90,BALONES PERDIDOS 2/4 DE CANCHA_P90,BALONES PERDIDOS 3/4 DE CANCHA_P90,BALONES PERDIDOS 4/4 DE CANCHA_P90
Defensa central,15.0,0.6433677521842732,2.1052631578947367,1.6216216216216215,1.5789473684210527,18.0,18.0,15.0,15.0,25.714285714285715,18.0,12.857142857142858,0.24193548387096772,18.0,18.0,6.428571428571429,150.0,51.42857142857143,75.0,30.0,30.0,1.6216216216216215,30.0,2.2849083215796897,4.0
Delantero,12.857142857142858,2.5,6.923076923076923,3.5,6.923076923076923,1.168831168831169,0.8653846153846154,10.588235294117647,4.675324675324676,1.5100671140939599,6.923076923076923,10.0,1.4754098360655736,10.0,10.0,1.4285714285714286,66.5,2.8125,14.0625,51.42857142857143,28.0,1.4754098360655736,10.0,12.857142857142858,13.846153846153847
Lateral por derecha,4.7368421052631575,1.6917293233082706,11.25,2.347826086956522,11.25,0.8160621761658031,0.44554455445544555,2.142857142857143,0.9473684210526315,4.7368421052631575,5.1063829787234045,2.706766917293233,1.0150375939849623,5.684210526315789,4.468085106382979,2.347826086956522,51.168539325842694,8.30423940149626,22.219451371571072,23.0561797752809,9.473684210526315,4.285714285714286,3.8297872340425534,11.25,6.7669172932330826
Lateral por izquierda,8.513513513513514,2.0521172638436482,9.72972972972973,6.081081081081082,6.428571428571429,0.6569343065693432,0.3225806451612903,2.4324324324324325,0.9391304347826086,6.428571428571429,8.333333333333334,5.25974025974026,1.2162162162162162,19.285714285714285,6.428571428571429,12.857142857142858,118.0,15.0,38.0,72.0,9.087947882736156,2.8346456692913384,2.142857142857143,12.857142857142858,8.0
Volante defensivo,5.727272727272727,1.3846153846153848,10.0,1.2141652613827993,10.0,1.5789473684210527,1.5789473684210527,3.75,2.0,10.0,45.0,3.949843260188088,0.46875,6.0,6.0,3.0434782608695654,90.0,36.0,45.0,45.0,11.25,30.0,2.769230769230769,30.0,22.5
Volante ofensivo,18.0,1.4419225634178905,15.0,2.769230769230769,15.0,1.0671936758893281,0.47306176084099866,2.769230769230769,1.4438502673796791,1.4160839160839163,3.4482758620689657,15.0,18.0,18.0,18.0,5.0,62.29428848015489,8.307692307692308,17.512100677637946,27.270087124878994,36.0,0.6896551724137931,11.25,30.0,22.5
Volante por derecha,8.181818181818182,2.3872679045092835,7.159090909090909,3.0681818181818183,6.0,1.1120917917034423,0.9121621621621622,4.455445544554456,1.9963031423290203,6.0,2.7272727272727275,3.4449760765550237,1.139240506329114,2.9577464788732395,2.7272727272727275,1.7647058823529411,48.29655781112092,3.5294117647058822,16.363636363636363,20.97087378640777,14.810126582278482,3.0,3.5294117647058822,4.225352112676056,5.454545454545455
Volante por izquierda,11.052631578947368,3.033707865168539,18.0,2.7945859872611463,18.0,1.3580246913580247,0.9876543209876544,4.390243902439025,3.3333333333333335,2.887700534759358,3.364485981308411,18.0,3.3333333333333335,6.666666666666667,3.3333333333333335,3.3333333333333335,44.53608247422681,4.615384615384615,12.419354838709678,22.268041237113405,13.846153846153847,0.6617647058823529,3.711340206185567,18.0,6.315789473684211
