POSICION,CENTROS TOTALES_P90,CENTROS TOTALES GANADOS POR UN COMPAÑERO_P90,1 VS 1 OFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS OFENSIVOS_P90,1VS1 NO EXITOSO OFENSIVO_P90,PARTICIPACIÓN EN GOL_P90,ASISTENCIAS_P90,TIROS A GOL_P90,TIROS A GOL CON DESTINO A PORTERÍA_P90,BALONES RECUPERADOS 1/4 DE CANCHA_P90,BALONES RECUPERADOS 2/4 DE CANCHA_P90,BALONES RECUPERADOS 3/4 DE CANCHA_P90,BALONES RECUPERADOS 4/4 DE CANCHA_P90,1 VS 1 DEFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS DEFENSIVOS_P90,1VS1 NO EXITOSO DEFENSIVO_P90,TOTAL PASES ACERTADOS_P90,PASES ACERTADOS CANCHA PROPIA 1/4_P90,PASES ACERTADOS CANCHA PROPIA 2/4_P90,PASES ACERTADOS CANCHA RIVAL 3/4_P90,PASES ACERTADOS CANCHA RIVAL 4/4_P90,BALONES PERDIDOS 1/4 DE CANCHA_P90,BALONES PERDIDOS 2/4 DE CANCHA_P90,BALONES PERDIDOS 3/4 DE CANCHA_P90,BALONES PERDIDOS 4/4 DE CANCHA_P90
Defensa central,7.417582417582418,3.4615384615384617,8.0,3.0,6.0,2.1686746987951806,1.4835164835164836,2.7272727272727275,2.0,14.210526315789474,12.55813953488372,6.818181818181818,12.857142857142858,8.4375,4.7368421052631575,4.21875,91.55172413793103,40.909090909090914,47.368421052631575,54.0,18.791208791208792,1.3333333333333333,5.625,12.857142857142858,12.857142857142858
Delantero,9.0,3.0,11.440677966101696,8.181818181818182,7.627118644067797,2.571428571428571,1.5789473684210527,8.181818181818182,8.181818181818182,3.947368421052632,11.25,8.181818181818182,2.1951219512195124,18.0,3.0,18.0,74.59893048128342,12.857142857142858,31.76470588235294,32.72727272727273,30.0,1.2857142857142856,12.857142857142858,12.857142857142858,17.30769230769231
Lateral por derecha,7.039106145251396,4.022346368715084,4.462809917355371,2.2314049586776856,3.4806629834254146,2.0833333333333335,1.005586592178771,1.6981132075471699,0.9440559440559441,4.934210526315789,4.639175257731959,4.576271186440678,1.5254237288135593,6.428571428571429,3.857142857142857,2.903225806451613,58.53146853146853,10.54054054054054,20.0,30.508474576271187,12.521739130434783,1.443850267379679,3.0508474576271185,4.695652173913044,5.070422535211268
Lateral por izquierda,11.25,2.473572938689218,5.732484076433121,2.8662420382165603,2.8662420382165603,3.3333333333333335,0.7086614173228346,9.0,1.267605633802817,11.25,18.0,3.0252100840336134,1.267605633802817,10.465116279069766,6.27906976744186,6.428571428571429,72.75449101796407,13.5,28.711656441717793,36.10778443113772,12.592592592592592,1.5,9.0,19.285714285714285,11.25
Volante defensivo,8.181818181818182,8.181818181818182,5.3731343283582085,2.419354838709677,4.029850746268656,8.181818181818182,1.3636363636363638,8.181818181818182,8.181818181818182,25.714285714285715,18.0,6.428571428571429,12.857142857142858,3.91304347826087,2.7529411764705882,1.956521739130435,122.14285714285714,16.07142857142857,46.0,70.71428571428571,24.545454545454547,1.5319148936170213,5.242718446601942,12.857142857142858,19.285714285714285
Volante ofensivo,8.181818181818182,8.181818181818182,12.857142857142858,7.714285714285714,7.5,3.103448275862069,2.0,10.0,3.91304347826087,13.5,15.0,5.142857142857142,3.75,9.0,7.5,4.5,164.48275862068965,16.0,32.0,80.6896551724138,71.37931034482759,3.75,16.363636363636363,30.0,12.0
Volante por derecha,22.5,3.91304347826087,22.5,22.5,7.826086956521738,2.1301775147928996,1.7821782178217822,22.5,22.5,5.684210526315789,3.91304347826087,3.8135593220338984,1.5254237288135593,6.428571428571429,2.5,6.428571428571429,52.125813449023866,10.922330097087379,16.203904555314534,20.311284046692606,22.5,4.0,6.0,90.0,9.130434782608695
Volante por izquierda,45.0,4.7368421052631575,15.0,6.923076923076923,15.0,3.5294117647058822,3.5294117647058822,45.0,45.0,15.0,6.0,3.891891891891892,1.1920529801324502,4.736842105263158,4.736842105263158,2.4,63.684210526315795,15.0,26.315789473684212,45.0,31.153846153846157,6.0,45.0,6.923076923076923,9.473684210526315
