Posición,Categoría,Grupo
Volante por derecha,1 Vs 1 Defensivos Totales,Defensivo
Volante defensivo,1 Vs 1 Defensivos Totales,Defensivo
Lateral por izquierda,1 Vs 1 Defensivos Totales,Defensivo
Volante ofensivo,1 Vs 1 Defensivos Totales,Defensivo
Volante por izquierda,1 Vs 1 Defensivos Totales,Defensivo
Delantero,Pases Acertados Cancha Rival 4/4,Posesión
Defensa central,Pases Acertados Cancha Rival 4/4,Posesión
Lateral por derecha,Pases Acertados Cancha Rival 4/4,Posesión
Volante por derecha,Pases Acertados Cancha Rival 4/4,Posesión
Volante defensivo,Pases Acertados Cancha Rival 4/4,Posesión
Lateral por izquierda,Pases Acertados Cancha Rival 4/4,Posesión
Volante ofensivo,Pases Acertados Cancha Rival 4/4,Posesión
Volante por izquierda,Pases Acertados Cancha Rival 4/4,Posesión
Delantero,Tiros A Gol,Ofensivo
Volante por derecha,Participación En Gol,Ofensivo
Volante defensivo,Tiros A Gol,Ofensivo
Volante ofensivo,Tiros A Gol,Ofensivo
Volante por izquierda,Participación En Gol,Ofensivo
Delantero,1 Vs 1 Exitosos Defensivos,Defensivo
Defensa central,1 Vs 1 Exitosos Defensivos,Defensivo
Lateral por derecha,1 Vs 1 Exitosos Defensivos,Defensivo
Volante por derecha,1 Vs 1 Exitosos Defensivos,Defensivo
Volante defensivo,1 Vs 1 Exitosos Defensivos,Defensivo
Lateral por izquierda,1 Vs 1 Exitosos Defensivos,Defensivo
Volante ofensivo,1 Vs 1 Exitosos Defensivos,Defensivo
Volante por izquierda,1 Vs 1 Exitosos Defensivos,Defensivo
Delantero,Tiros A Gol Con Destino A Portería,Ofensivo
Volante por derecha,Asistencias,Ofensivo
Volante defensivo,Tiros A Gol Con Destino A Portería,Ofensivo
Volante ofensivo,Tiros A Gol Con Destino A Portería,Ofensivo
Volante por izquierda,Asistencias,Ofensivo
Delantero,1Vs1 No Exitoso Defensivo,Defensivo
Defensa central,1Vs1 No Exitoso Defensivo,Defensivo
Lateral por derecha,1Vs1 No Exitoso Defensivo,Defensivo
Volante por derecha,1Vs1 No Exitoso Defensivo,Defensivo
Volante defensivo,1Vs1 No Exitoso Defensivo,Defensivo
Lateral por izquierda,1Vs1 No Exitoso Defensivo,Defensivo
Volante ofensivo,1Vs1 No Exitoso Defensivo,Defensivo
Volante por izquierda,1Vs1 No Exitoso Defensivo,Defensivo
Volante por derecha,Tiros A Gol,Ofensivo
Volante por izquierda,Tiros A Gol,Ofensivo
Volante por derecha,Tiros A Gol Con Destino A Portería,Ofensivo
Volante por izquierda,Tiros A Gol Con Destino A Portería,Ofensivo
