POSICION,CENTROS TOTALES_P90,CENTROS TOTALES GANADOS POR UN COMPAÑERO_P90,1 VS 1 OFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS OFENSIVOS_P90,1VS1 NO EXITOSO OFENSIVO_P90,PARTICIPACIÓN EN GOL_P90,ASISTENCIAS_P90,TIROS A GOL_P90,TIROS A GOL CON DESTINO A PORTERÍA_P90,BALONES RECUPERADOS 1/4 DE CANCHA_P90,BALONES RECUPERADOS 2/4 DE CANCHA_P90,BALONES RECUPERADOS 3/4 DE CANCHA_P90,BALONES RECUPERADOS 4/4 DE CANCHA_P90,1 VS 1 DEFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS DEFENSIVOS_P90,1VS1 NO EXITOSO DEFENSIVO_P90,TOTAL PASES ACERTADOS_P90,PASES ACERTADOS CANCHA PROPIA 1/4_P90,PASES ACERTADOS CANCHA PROPIA 2/4_P90,PASES ACERTADOS CANCHA RIVAL 3/4_P90,PASES ACERTADOS CANCHA RIVAL 4/4_P90,BALONES PERDIDOS 1/4 DE CANCHA_P90,BALONES PERDIDOS 2/4 DE CANCHA_P90,BALONES PERDIDOS 3/4 DE CANCHA_P90,BALONES PERDIDOS 4/4 DE CANCHA_P90
Defensa central,8.181818181818182,4.0,3.75,3.0,3.75,1.4754098360655736,0.0,2.9508196721311473,0.0,7.5,8.181818181818182,6.0,0.0,45.0,3.75,45.0,80.0,25.0,45.0,31.0,9.0,1.0,4.5,4.090909090909091,4.0
Delantero,90.0,90.0,15.0,2.9508196721311473,15.0,90.0,90.0,12.857142857142858,4.090909090909091,4.21875,18.0,12.857142857142858,1.0,18.0,18.0,18.0,270.0,9.0,18.0,180.0,90.0,2.0,18.0,11.25,22.5
Lateral por derecha,15.0,1.5517241379310345,6.206896551724138,3.103448275862069,3.103448275862069,3.103448275862069,0.0,2.0,1.0,6.0,6.0,3.0,1.5517241379310345,7.0,6.0,2.6470588235294117,53.0,9.473684210526315,25.714285714285715,45.0,12.413793103448276,1.0,4.7368421052631575,6.206896551724138,6.206896551724138
Lateral por izquierda,7.9411764705882355,3.0,6.428571428571429,6.0,5.0,2.0,0.0,1.40625,1.40625,4.7368421052631575,7.0,3.4615384615384617,0.0,7.03125,5.625,3.0,72.6923076923077,10.0,41.53846153846154,27.692307692307693,11.0,1.0,4.0,8.4375,6.0
Volante defensivo,7.9411764705882355,4.5,3.913043478260869,1.6071428571428572,3.103448275862069,2.0,1.0,3.103448275862069,2.608695652173913,5.070422535211268,12.857142857142858,6.0,4.5,12.857142857142858,12.857142857142858,2.0,95.625,10.0,48.0,39.705882352941174,18.0,2.0,4.0,5.625,15.0
Volante ofensivo,9.0,8.181818181818182,27.0,15.0,27.0,5.294117647058823,5.294117647058823,5.294117647058823,1.5517241379310345,6.206896551724138,10.0,22.5,6.206896551724138,4.186046511627906,4.0,4.186046511627906,160.0,20.0,110.0,45.0,18.0,1.5517241379310345,16.363636363636363,15.0,10.588235294117647
Volante por derecha,8.181818181818182,3.0,45.0,45.0,17.30769230769231,1.0,1.0,45.0,45.0,3.0,3.0,8.181818181818182,1.0588235294117647,3.2142857142857144,3.2142857142857144,1.0,56.8421052631579,3.0,18.94736842105263,45.0,11.0,1.0588235294117647,3.0,10.384615384615385,10.384615384615385
Volante por izquierda,4.0,2.0454545454545454,6.136363636363637,2.0454545454545454,6.0,1.2162162162162162,1.2162162162162162,6.0,6.0,3.0,4.0,3.0,8.181818181818182,2.535211267605634,2.535211267605634,1.4754098360655736,60.0,6.0,60.0,40.909090909090914,9.0,1.267605633802817,4.0,4.7368421052631575,10.0
