POSICION,CENTROS TOTALES_P90,CENTROS TOTALES GANADOS POR UN COMPAÑERO_P90,1 VS 1 OFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS OFENSIVOS_P90,1VS1 NO EXITOSO OFENSIVO_P90,PARTICIPACIÓN EN GOL_P90,ASISTENCIAS_P90,TIROS A GOL_P90,TIROS A GOL CON DESTINO A PORTERÍA_P90,BALONES RECUPERADOS 1/4 DE CANCHA_P90,BALONES RECUPERADOS 2/4 DE CANCHA_P90,BALONES RECUPERADOS 3/4 DE CANCHA_P90,BALONES RECUPERADOS 4/4 DE CANCHA_P90,1 VS 1 DEFENSIVOS TOTALES_P90,1 VS 1 EXITOSOS DEFENSIVOS_P90,1VS1 NO EXITOSO DEFENSIVO_P90,TOTAL PASES ACERTADOS_P90,PASES ACERTADOS CANCHA PROPIA 1/4_P90,PASES ACERTADOS CANCHA PROPIA 2/4_P90,PASES ACERTADOS CANCHA RIVAL 3/4_P90,PASES ACERTADOS CANCHA RIVAL 4/4_P90,BALONES PERDIDOS 1/4 DE CANCHA_P90,BALONES PERDIDOS 2/4 DE CANCHA_P90,BALONES PERDIDOS 3/4 DE CANCHA_P90,BALONES PERDIDOS 4/4 DE CANCHA_P90
Defensa central,8.181818181818182,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4177215189873418,3.0,2.0,0.0,2.0,2.0,0.0,42.0,24.545454545454547,19.0,10.0,1.139240506329114,1.0,1.139240506329114,2.0,0.0
Delantero,0.0,0.0,3.4615384615384617,1.40625,3.4615384615384617,0.0,0.0,1.40625,1.40625,0.0,0.0,0.0,0.0,1.40625,0.0,1.40625,5.625,0.0,4.21875,3.4615384615384617,0.0,0.0,0.0,6.923076923076923,4.21875
Lateral por derecha,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,24.0,1.0,15.0,6.0,2.0,0.0,1.0,2.0,4.0
Lateral por izquierda,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,11.0,1.0,0.0,1.0,1.0,3.0
Volante defensivo,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,0.0,1.0,0.0,1.0,21.0,4.0,10.0,9.0,2.0,1.0,4.0,1.0,3.0
Volante ofensivo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,0.0,0.0,8.181818181818182,1.139240506329114,0.0,1.139240506329114,0.0,1.139240506329114,24.545454545454547,0.0,10.253164556962025,16.363636363636363,1.139240506329114,0.0,1.139240506329114,4.556962025316456,4.556962025316456
Volante por derecha,8.181818181818182,0.0,8.181818181818182,8.181818181818182,0.0,0.0,0.0,8.181818181818182,8.181818181818182,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0
Volante por izquierda,1.139240506329114,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,1.139240506329114,0.0,2.278481012658228,0.0,0.0,1.139240506329114,1.139240506329114,0.0,11.39240506329114,0.0,2.278481012658228,5.69620253164557,3.4177215189873418,0.0,3.4177215189873418,3.4177215189873418,2.278481012658228
